LS_X;LS_Y;LS_Z
1.24;1.04;0.0
1.18;1.01;0.0
1.07;0.9;0.0
1.23;0.89;0.0
1.26;0.89;0.0
1.14;0.9;0.0
1.07;0.87;0.0
0.83;1.19;0.0
0.99;1.05;0.0
1.05;1.11;0.0
1.02;1.2;0.0
1.04;1.17;0.0
0.98;1.22;0.0
1.11;1.08;0.0
1.05;1.09;0.0
1.07;1.09;0.0
1.0;1.11;0.0
1.02;1.11;0.0
1.11;0.86;0.0
1.14;1.1;0.0
1.23;0.63;0.0
1.07;1.04;0.0
0.98;1.08;0.0
1.07;1.18;0.0
1.15;1.0;0.0
1.0;1.21;0.0
0.96;1.21;0.0
1.16;0.75;0.0
1.02;1.12;0.0
1.03;1.15;0.0
1.01;1.03;0.0
1.03;1.2;0.0
1.05;1.1;0.0
1.04;1.09;0.0
1.07;1.11;0.0
1.1;1.11;0.0
1.05;1.13;0.0
1.14;1.1;0.0
1.04;1.09;0.0
1.08;1.18;0.0
1.09;1.11;0.0
0.94;1.09;0.0
1.0;1.15;0.0
0.96;1.11;0.0
0.94;1.14;0.0
1.07;1.08;0.0
1.03;1.11;0.0
1.04;1.15;0.0
1.05;1.07;0.0
0.97;1.11;0.0
1.06;1.18;0.0
1.08;1.07;0.0
1.01;1.13;0.0
1.01;1.11;0.0
1.08;1.08;0.0
1.01;1.13;0.0
1.01;1.16;0.0
1.13;1.01;0.0
1.02;1.13;0.0
1.07;1.09;0.0
1.02;1.06;0.0
0.99;1.16;0.0
1.01;1.13;0.0
1.04;1.1;0.0
1.05;1.14;0.0
1.06;1.03;0.0
1.12;0.99;0.0
0.97;1.14;0.0
1.04;1.04;0.0
1.0;1.12;0.0
1.08;1.09;0.0
1.09;1.18;0.0
1.06;1.1;0.0
1.08;1.07;0.0
0.99;1.16;0.0
1.05;1.09;0.0
0.99;1.16;0.0
1.07;1.08;0.0
1.06;1.16;0.0
1.05;1.11;0.0
1.04;1.06;0.0
0.96;1.11;0.0
1.09;1.1;0.0
1.08;1.13;0.0
1.04;1.15;0.0
1.05;1.09;0.0
1.09;1.09;0.0
1.06;1.13;0.0
1.01;1.13;0.0
1.01;1.13;0.0
1.02;1.12;0.0
1.08;1.09;0.0
0.94;1.15;0.0
0.99;1.13;0.0
1.05;1.18;0.0
1.09;1.14;0.0
1.05;1.11;0.0
1.09;1.1;0.0
1.09;1.04;0.0
1.02;1.06;0.0
1.01;1.14;0.0
1.09;1.12;0.0
1.05;1.09;0.0
1.09;1.09;0.0
1.0;1.08;0.0
1.07;1.05;0.0
1.06;1.12;0.0
1.06;1.19;0.0
1.03;1.12;0.0
1.01;1.12;0.0
0.96;1.16;0.0
0.97;1.13;0.0
1.04;1.04;0.0
1.0;1.15;0.0
0.97;1.15;0.0
1.07;1.16;0.0
1.09;1.15;0.0
1.1;1.05;0.0
1.11;1.1;0.0
1.0;1.14;0.0
1.06;1.1;0.0
1.06;1.06;0.0
1.07;1.13;0.0
1.06;1.13;0.0
1.03;1.04;0.0
1.06;1.12;0.0
1.1;1.11;0.0
1.05;1.05;0.0
1.04;1.09;0.0
1.03;1.03;0.0
1.06;1.1;0.0
1.07;1.11;0.0
1.1;1.08;0.0
1.08;1.13;0.0
1.06;1.13;0.0
1.07;1.13;0.0
1.05;1.08;0.0
1.1;1.06;0.0
1.04;1.1;0.0
1.06;1.14;0.0
1.06;1.12;0.0
1.09;1.07;0.0
1.07;1.05;0.0
1.07;1.12;0.0
1.09;1.04;0.0
1.05;1.11;0.0
1.12;1.07;0.0
1.09;1.12;0.0
0.98;1.15;0.0
1.0;1.13;0.0
1.06;1.2;0.0
1.09;1.08;0.0
1.08;1.1;0.0
1.1;1.12;0.0
1.04;1.14;0.0
1.09;1.14;0.0
1.1;1.08;0.0
1.07;1.09;0.0
0.98;1.09;0.0
1.03;1.21;0.0
1.05;1.12;0.0
1.05;1.04;0.0
1.05;1.09;0.0
1.02;1.18;0.0
1.07;1.1;0.0
1.06;1.07;0.0
1.07;1.08;0.0
1.07;1.1;0.0
1.09;1.12;0.0
1.06;1.13;0.0
1.02;1.1;0.0
1.05;1.11;0.0
1.04;1.14;0.0
1.04;1.11;0.0
0.99;1.16;0.0
1.01;1.13;0.0
0.99;1.12;0.0
1.09;1.12;0.0
1.11;1.08;0.0
1.06;1.14;0.0
1.09;1.13;0.0
1.08;1.04;0.0
1.11;1.08;0.0
0.99;1.04;0.0
1.02;1.03;0.0
0.98;1.18;0.0
1.05;1.13;0.0
1.09;1.09;0.0
1.07;1.07;0.0
1.03;1.17;0.0
1.05;1.12;0.0
1.07;1.16;0.0
0.98;1.14;0.0
1.03;1.11;0.0
0.99;1.17;0.0
1.04;1.05;0.0
0.99;1.12;0.0
1.08;1.1;0.0
1.06;1.13;0.0
1.06;1.16;0.0
1.08;1.06;0.0
1.04;1.15;0.0
1.05;1.11;0.0
1.04;1.14;0.0
1.02;1.09;0.0
1.0;1.14;0.0
1.02;1.1;0.0
1.01;1.13;0.0
1.04;1.12;0.0
1.0;1.15;0.0
0.96;1.18;0.0
1.04;1.1;0.0
1.05;1.11;0.0
1.01;1.15;0.0
1.04;1.13;0.0
1.06;1.14;0.0
1.07;1.09;0.0
1.08;1.13;0.0
1.12;1.0;0.0
1.05;1.14;0.0
1.04;1.14;0.0
1.04;1.08;0.0
1.03;1.07;0.0
1.07;1.08;0.0
1.05;1.11;0.0
1.02;1.06;0.0
1.08;1.14;0.0
1.05;1.1;0.0
1.06;1.08;0.0
0.92;1.18;0.0
1.01;1.14;0.0
1.07;1.05;0.0
1.04;1.08;0.0
1.13;1.06;0.0
1.02;1.15;0.0
1.08;1.11;0.0
1.01;1.13;0.0
1.05;1.12;0.0
0.99;1.08;0.0
1.07;1.11;0.0
1.1;1.09;0.0
1.03;1.12;0.0
1.07;1.01;0.0
1.05;1.05;0.0
1.0;1.13;0.0
1.13;0.85;0.0
1.09;1.07;0.0
1.03;1.09;0.0
0.94;1.19;0.0
1.05;1.13;0.0
1.03;1.1;0.0
1.04;1.13;0.0
1.02;1.14;0.0
1.0;1.18;0.0
1.05;1.09;0.0
1.04;1.16;0.0
1.07;0.93;0.0
0.98;1.09;0.0
1.08;1.05;0.0
0.99;1.15;0.0
1.02;1.11;0.0
1.05;1.1;0.0
0.92;1.16;0.0
1.08;1.07;0.0
1.04;1.04;0.0
0.98;1.12;0.0
1.06;1.11;0.0
0.96;1.09;0.0
1.07;1.13;0.0
1.08;1.07;0.0
1.04;1.09;0.0
1.07;1.11;0.0
1.03;1.07;0.0
1.07;1.18;0.0
1.01;1.11;0.0
1.04;1.12;0.0
1.01;1.11;0.0
1.07;1.11;0.0
1.02;1.11;0.0
1.04;1.05;0.0
1.09;1.14;0.0
1.04;1.14;0.0
1.06;1.09;0.0
1.02;1.12;0.0
1.02;1.13;0.0
0.97;1.15;0.0
1.06;1.0;0.0
1.11;1.07;0.0
1.12;1.12;0.0
1.13;1.08;0.0
1.03;1.12;0.0
0.97;1.04;0.0
1.15;1.04;0.0
1.08;1.12;0.0
1.05;1.1;0.0
1.06;1.05;0.0
1.05;1.09;0.0
1.1;1.1;0.0
1.09;1.15;0.0
1.08;1.07;0.0
1.14;1.08;0.0
1.08;1.13;0.0
1.09;1.14;0.0
1.11;0.98;0.0
1.07;1.03;0.0
1.08;1.08;0.0
1.11;1.08;0.0
1.15;1.06;0.0
1.13;1.12;0.0
1.08;1.1;0.0
1.12;1.07;0.0
1.12;1.11;0.0
1.01;1.17;0.0
1.09;1.09;0.0
1.1;1.09;0.0
1.11;1.03;0.0
1.08;1.14;0.0
0.98;1.21;0.0
0.97;1.19;0.0
1.09;1.11;0.0
0.96;1.19;0.0
0.97;1.13;0.0
1.0;1.12;0.0
1.04;1.1;0.0
1.03;1.13;0.0
1.03;1.05;0.0
1.07;1.12;0.0
1.04;1.11;0.0
1.05;1.1;0.0
1.11;1.08;0.0
1.1;1.02;0.0
1.03;1.12;0.0
1.0;1.1;0.0
1.01;1.15;0.0
1.0;1.14;0.0
1.11;1.07;0.0
1.04;1.07;0.0
1.01;1.15;0.0
1.04;1.1;0.0
1.11;0.85;0.0
1.02;1.1;0.0
1.1;1.1;0.0
1.09;1.18;0.0
1.05;1.11;0.0
1.04;1.04;0.0
1.09;1.11;0.0
0.98;1.17;0.0
1.05;1.1;0.0
1.03;1.15;0.0
1.01;1.09;0.0
1.03;1.13;0.0
1.03;1.16;0.0
1.09;1.09;0.0
1.1;1.1;0.0
1.11;1.11;0.0
1.1;1.05;0.0
1.11;1.05;0.0
1.06;1.15;0.0
1.09;1.1;0.0
0.99;1.11;0.0
1.09;1.11;0.0
1.07;1.08;0.0
1.09;1.1;0.0
1.07;1.09;0.0
1.03;1.11;0.0
1.08;1.13;0.0
1.06;1.09;0.0
1.01;1.15;0.0
1.06;1.15;0.0
1.01;1.04;0.0
1.09;1.15;0.0
1.02;1.14;0.0
1.09;1.12;0.0
1.06;1.14;0.0
1.07;1.11;0.0
1.04;1.08;0.0
1.07;1.0;0.0
1.1;1.03;0.0
1.06;1.03;0.0
1.04;1.1;0.0
0.99;1.13;0.0
1.08;1.07;0.0
1.08;1.05;0.0
1.03;1.04;0.0
1.05;1.1;0.0
1.01;1.15;0.0
1.06;1.16;0.0
1.04;1.09;0.0
1.08;1.04;0.0
1.08;1.1;0.0
1.06;1.09;0.0
1.02;1.2;0.0
1.02;1.19;0.0
1.02;1.09;0.0
1.02;1.15;0.0
1.05;1.13;0.0
1.05;1.12;0.0
1.03;1.13;0.0
1.06;1.12;0.0
1.08;1.08;0.0
1.11;1.07;0.0
1.08;1.04;0.0
1.02;1.16;0.0
1.1;1.06;0.0
1.08;1.14;0.0
1.04;1.19;0.0
1.09;1.1;0.0
0.99;1.16;0.0
1.11;1.07;0.0
1.01;1.14;0.0
1.03;1.13;0.0
0.97;1.13;0.0
1.03;1.13;0.0
0.94;1.14;0.0
1.02;1.16;0.0
0.98;1.18;0.0
1.05;1.08;0.0
1.08;1.18;0.0
1.07;1.12;0.0
1.04;1.15;0.0
1.01;1.12;0.0
1.09;1.06;0.0
1.02;1.15;0.0
1.08;1.19;0.0
1.08;1.12;0.0
1.08;1.13;0.0
1.03;1.12;0.0
1.08;0.91;0.0
1.04;1.14;0.0
1.1;1.08;0.0
1.06;1.1;0.0
1.08;1.1;0.0
0.98;1.13;0.0
0.98;1.16;0.0
1.04;1.09;0.0
1.01;1.09;0.0
1.05;1.12;0.0
1.05;1.07;0.0
1.07;1.05;0.0
1.05;1.15;0.0
1.02;1.1;0.0
1.1;1.05;0.0
0.97;1.14;0.0
0.98;1.12;0.0
1.05;1.1;0.0
1.08;1.14;0.0
1.06;1.06;0.0
1.07;1.1;0.0
1.07;1.15;0.0
1.04;1.18;0.0
1.07;1.1;0.0
1.06;1.08;0.0
1.02;1.09;0.0
1.08;1.03;0.0
1.12;1.06;0.0
1.08;1.1;0.0
1.1;1.13;0.0
1.1;1.12;0.0
1.01;1.12;0.0
1.01;1.15;0.0
1.08;1.11;0.0
1.1;1.13;0.0
0.98;1.11;0.0
0.99;1.15;0.0
1.04;1.14;0.0
1.02;1.06;0.0
1.02;1.15;0.0
1.04;1.11;0.0
